Probe_name,Mature_MiRNA
hsa-mir-106-prec-X,hsa-miR-106a
hsa-mir-123-precNo2,hsa-miR-126
hsa-mir-133a-1,hsa-miR-133a
hsa-mir-135-1-prec,hsa-miR-135a
hsa-mir-137-prec,hsa-miR-137
hsa-mir-149-prec,hsa-miR-149
hsa-mir-154-prec1No1,hsa-miR-154
hsa-mir-101-1No1,hsa-miR-101
hsa-mir-1-2No1,hsa-miR-1
hsa-mir-148aNo1,hsa-miR-148a
hsa-mir-370No1,hsa-miR-370
hsa-mir-29b-1No2,hsa-miR-29b-1*
hsa-mir-302cNo2,hsa-miR-302c*
hsa-mir-493No1,hsa-miR-493*
hsa-mir-495No1,hsa-miR-495
hsa-mir-503No1,hsa-miR-503
hsa-mir-505No1,hsa-miR-505
hsa-mir-507No1,hsa-miR-507
hsa-mir-514-2&3No1,hsa-miR-514
hsa-mir-515-25p,hsa-miR-515-5p
hsa-mir-518a-1*,hsa-miR-527
hsa-mir-518bNo1,hsa-miR-518b
hsa-mir-098-prec-X,hsa-miR-98
hsa-mir-100-1/2-prec,hsa-miR-100
hsa-mir-102-prec-1,hsa-miR-29b
hsa-mir-125b-2-precNo2,hsa-miR-125b
hsa-mir-128b-precNo1,hsa-miR-128
hsa-mir-130a-precNo1,hsa-miR-130a*
hsa-mir-145-prec,hsa-miR-145
hsa-mir-181a-precNo2,hsa-miR-181a-2*
hsa-mir-183-precNo2,hsa-miR-183*
hsa-mir-29b-1No1,hsa-miR-29b
hsa-mir-302cNo1,hsa-miR-302c
hsa-mir-101-1No2,hsa-miR-101*
hsa-mir-148aNo2,hsa-miR-148a*
hsa-mir-497No1,hsa-miR-497
hsa-mir-501No1,hsa-miR-501-5p
hsa-mir-511-1No1,hsa-miR-511
hsa-mir-516-45p,hsa-miR-516b
hsa-mir-517b*,hsa-miR-517*
hsa-mir-518f*,hsa-miR-518f*
hsa-mir-519a-2No1,hsa-miR-519a
hsa-let-7c-prec,hsa-let-7c
hsa-let-7d-v2-precNo2,hsa-let-7i
hsa-mir-009-2No1,hsa-miR-9
hsa-mir-010a-precNo1,hsa-miR-10a
hsa-mir-015a-2-precNo1,hsa-miR-15a
hsa-mir-023a-prec,hsa-miR-23a
hsa-mir-024-2-prec,hsa-miR-24
hsa-mir-026b-prec,hsa-miR-26b
hsa-let-7iNo1,hsa-let-7i
hsa-mir-106bNo1,hsa-miR-106b
hsa-mir-135a-2No1,hsa-miR-135a
hsa-mir-26a-1No1,hsa-miR-26a
hsa-miR-302b*No1,hsa-miR-302b*
hsa-mir-30eNo1,hsa-miR-30e
hsa-mir-106aNo2,hsa-miR-106a*
hsa-mir-135a-1No2,hsa-miR-135a*
hsa-mir-16-1No2,hsa-miR-16-1*
hsa-mir-30c-2No2,hsa-miR-30c-2*
hsa-mir-519e*,hsa-miR-519e*
hsa-mir-520bNo1,hsa-miR-520b
hsa-mir-523/526c,hsa-miR-523*
hsa-mir-526a-2No1,hsa-miR-526a
hsa-mir-185-precNo2,hsa-miR-185*
hsa-mir-200a-prec,hsa-miR-200b
hsa-mir-204-precNo1,hsa-miR-204
hsa-mir-218-1-prec,hsa-miR-218
hsa-mir-220-prec,hsa-miR-220a
hsa-mir-223-prec,hsa-miR-223
hsa-mir-18bNo1,hsa-miR-18b
hsa-mir-146bNo1,hsa-miR-146b-5p
hsa-mir-193bNo1,hsa-miR-193b
hsa-mir-365-2No1,hsa-miR-365
hsa-mir-376aNo2,hsa-miR-376a*
hsa-mir-377No2,hsa-miR-377*
hsa-mir-424No2,hsa-miR-424*
hsa-mir-450-2No1,hsa-miR-450a
hsa-mir-452,hsa-miR-452
hsa-let-7f-2-prec2,hsa-let-7f
hsa-mir-001b-2-prec,hsa-miR-1
hsa-mir-016a-chr13,hsa-miR-16
hsa-mir-018-prec,hsa-miR-18a
