Reporter Name,Reporter Database Entry [mirbase],Reporter Group [organism],Comment[Contains_Mature_MiRNA],Comment[SPOT_ID]
hsa-mir-198-prec,hsa-miR-198,Homo sapiens,yes,NA
hsa-mir-199b-precNo2,hsa-mir-199b,Homo sapiens,no,NA
hsa-mir-213-precNo1,hsa-miR-181b,Homo sapiens,yes,NA
hsa-mir-215-precNo2,hsa-mir-215,Homo sapiens,no,NA
hsa-mir-217-precNo2,hsa-miR-217,Homo sapiens,yes,NA
mmu-mir-009-precNo1,mmu-miR-9,Mus musculus,yes,NA
mmu-mir-027b-prec,mmu-miR-27b,Mus musculus,yes,NA
mmu-mir-099a-prec,mmu-miR-99a,Mus musculus,yes,NA
mmu-mir-129b-prec,mmu-mir-129-2,Mus musculus,no,NA
mmu-mir-132-prec,mmu-miR-132,Mus musculus,yes,NA
mmu-mir-135-prec,mmu-miR-135a,Mus musculus,yes,NA
mmu-mir-199a-1No1,mmu-mir-199a-1,Mus musculus,no,NA
mmu-mir-199bNo1,mmu-mir-199b,Mus musculus,no,NA
mmu-mir-22No1,mmu-miR-22,Mus musculus,yes,NA
mmu-mir-27aNo1,mmu-miR-27a,Mus musculus,yes,NA
mmu-mir-103-2No1,mmu-miR-103,Mus musculus,yes,NA
mmu-mir-350No1,mmu-miR-350,Mus musculus,yes,NA
mmu-mir-19aNo1,mmu-miR-19a,Mus musculus,yes,NA
mmu-mir-320No1,mmu-miR-320,Mus musculus,yes,NA
hsa-mir-329-2No2,hsa-mir-329-2,Homo sapiens,no,NA
hsa-mir-362No2,hsa-miR-362-3p,Homo sapiens,yes,NA
hsa-mir-365-1No2,hsa-mir-365-1,Homo sapiens,no,NA
hsa-mir-381No1,hsa-miR-381,Homo sapiens,yes,NA
hsa-mir-383No2,hsa-mir-383,Homo sapiens,no,NA
hsa-mir-410No1,hsa-miR-410,Homo sapiens,yes,NA
hsa-mir-4325p,hsa-miR-432,Homo sapiens,yes,NA
hsa-mir-448No1,hsa-miR-448,Homo sapiens,yes,NA
hsa-mir-450-1,hsa-miR-450a,Homo sapiens,yes,NA
hsa-mir-486,hsa-mir-486,Homo sapiens,no,NA
hsa-mir-488No2,hsa-miR-488,Homo sapiens,yes,NA
hsa-mir-490No2,hsa-mir-490,Homo sapiens,no,NA
hsa-mir-033-prec,hsa-miR-33a,Homo sapiens,yes,NA
hsa-mir-092-prec-13=092-1No2,hsa-miR-92a,Homo sapiens,yes,NA
hsa-mir-096-prec-7No1,hsa-miR-96*,Homo sapiens,yes,NA
hsa-mir-122a-prec,hsa-miR-122,Homo sapiens,yes,NA
hsa-mir-124a-2-prec,hsa-miR-124,Homo sapiens,yes,NA
hsa-mir-125b-1,hsa-miR-125b,Homo sapiens,yes,NA
hsa-mir-134-precNo1,hsa-mir-134,Homo sapiens,no,NA
hsa-mir-136-precNo1,hsa-miR-136*,Homo sapiens,yes,NA
hsa-mir-138-2-prec,hsa-miR-138,Homo sapiens,yes,NA
hsa-mir-151-prec,hsa-mir-151,Homo sapiens,no,NA
hsa-mir-153-1-prec2,hsa-mir-153-1,Homo sapiens,no,NA
hsa-mir-155-prec,hsa-miR-155,Homo sapiens,yes,NA
mmu-mir-125b-1No2,mmu-mir-125b-1,Mus musculus,no,NA
mmu-mir-9-3No2,mmu-miR-9*,Mus musculus,yes,NA
mmu-mir-138-2No2,mmu-mir-138-2,Mus musculus,no,NA
mmu-mir-106aNo2,mmu-mir-106a,Mus musculus,no,NA
mmu-mir-30dNo2,mmu-mir-30d,Mus musculus,no,NA
mmu-let-7a-1No2,mmu-let-7a*,Mus musculus,yes,NA
mmu-mir-26bNo2,mmu-miR-26b*,Mus musculus,yes,NA
mmu-mir-34aNo2,mmu-mir-34a,Mus musculus,no,NA
mmu-mir-339No2,mmu-mir-339,Mus musculus,no,NA
